Word,Entropy
tares,6.2113084342548
lares,6.1605915709660515
rales,6.140119775133264
teras,6.1367432414505325
ranes,6.130806377920402
rates,6.129129237054199
nares,6.120312790322108
pares,6.107831533733859
mares,6.080453202199582
tears,6.076037327277947
dares,6.06272174534323
cares,6.06006703747705
tales,6.0574742619473865
reals,6.0414585213787895
reans,6.032965765773706
reais,6.032513118709467
tores,6.023874807414196
arles,6.019698938477769
bares,6.01757781803285
earls,6.015301255358211
laers,6.011938955081591
soare,6.009800075759269
earns,6.007664845207799
lears,6.005230628979492
lanes,6.0047952295199165
pears,5.989628961915973
aeros,5.983715173003308
teals,5.98060624464497
gares,5.980304748873626
nears,5.978721381097404
aures,5.9725711680472156
tarse,5.972040756367366
rames,5.971852925343872
toeas,5.971751790728695
lores,5.97165251962338
taels,5.969556732868768
leats,5.9655628582377265
arets,5.959101317888827
tires,5.954933687029919
saner,5.954077189522772
roles,5.951822034377639
pales,5.950382263022132
rotes,5.948104597002485
toras,5.946933454220965
sater,5.946275675084106
dears,5.944775299989638
rapes,5.944564968799492
rones,5.943651100658026
salet,5.942699541093287
raise,5.941922544926955
hares,5.941652219590651
dales,5.940139758183029
saine,5.937244853340677
seria,5.9368429192453
males,5.926617429451681
nates,5.925060610347409
races,5.9239680719953665
braes,5.9184232221687845
panes,5.91841472858585
reads,5.917848702856433
sared,5.917010544815285
seral,5.915395157739409
leans,5.915129490600662
parse,5.908702610122931
pores,5.908681535965039
bears,5.906534726889034
ranse,5.9050837578622
taros,5.903520286732354
neats,5.903376040336246
pelas,5.902141314029617
manes,5.892298595983796
neals,5.891856830875819
pates,5.888604374878896
reaps,5.885827256519584
raits,5.885503205029275
fares,5.8848049579697905
reams,5.884718354046288
saree,5.884563274940586
marse,5.883638897815336
tries,5.8834111738621955
peals,5.883361512502572
mores,5.883296085130643
melas,5.882950951833969
rages,5.87986626336108
riles,5.876381318329475
serai,5.875417627998633
dates,5.873812212251225
peats,5.873139069946626
repas,5.871618345104477
carse,5.870697457715679
rotas,5.86896437149307
meals,5.867790260310319
rites,5.86759415074659
eards,5.8661702263383955
mates,5.866025177130308
canes,5.865441384720795
toles,5.864583161665252
taser,5.862768683754583
deals,5.86254043777138
sacre,5.862097407274586
gears,5.8619773044193435
cores,5.861801846134193
airts,5.8617291998961445
netas,5.861649656628763
dores,5.859844953317085
rines,5.859414869001834
bales,5.857639346201776
sarge,5.8572109646958515
meats,5.85700433296895
wares,5.855825819500315
aides,5.855087977569318
lades,5.85065502601285
peans,5.848651794265994
slate,5.848345517720408
strae,5.848131565567205
tames,5.846604719160095
rakes,5.84562396601516
sorta,5.844007418832902
roans,5.843543854129464
aeons,5.8426785617454176
cates,5.840327996086285
lames,5.8383307670007225
ratos,5.836524202402235
laris,5.836401814028488
rails,5.8343316770992635
sorel,5.8342035585635275
eorls,5.834189350994687
tiars,5.83365291988668
tones,5.832622551247408
hears,5.831491024641473
saute,5.830681193001701
means,5.829130748737473
metas,5.828059298144122
banes,5.827134234810576
deans,5.826755937837827
reast,5.82658960210746
laser,5.822752452811181
reaks,5.822178259604991
gales,5.821163454927262
resat,5.81978410420869
relos,5.81928838826753
apres,5.818207054546806
sears,5.817877619522426
aunes,5.815714200815687
mires,5.81537246001203
tapes,5.813672919360349
renos,5.813054342944297
bores,5.811744639753177
rains,5.810270164030901
ranis,5.809918366644759
tiers,5.808653496339115
tolas,5.808283027591904
torse,5.805897046087669
claes,5.804290979636347
lotes,5.803786691067455
kaies,5.803764062820632
teads,5.803256757814286
beals,5.801805542655498
lairs,5.801462693525714
sabre,5.801428466415766
aloes,5.800753724444571
leads,5.800562613772993
taces,5.799804481045917
paise,5.799608985215949
bates,5.799369037851538
antes,5.797405674544217
baels,5.796107854218349
airns,5.796037349667959
salue,5.795655283209249
naris,5.795366161176497
