Word,Entropy
aaronic,-0.010284073516561501
aarrghh,-0.05591170688384901
ababdeh,-0.03846278661808429
abacate,-0.03010136446078455
abacaxi,-0.06581113038926355
abacist,-0.01293618890475694
abactor,-0.016310065774268603
abaculi,-0.02294177331414381
abaddon,-0.03465704322258119
abadejo,-0.03263641768005929
abadite,-0.012189245886934253
abaised,-0.01249242668804642
abaiser,-0.009726619066381335
abaisse,-0.01874576372637357
abalone,-0.012453911682169477
abandon,-0.03216544425508678
abandum,-0.027723137968416182
abantes,-0.008527012757389563
abasers,-0.018700185689566388
abashed,-0.017592478155306224
abashes,-0.021922764703389518
abasias,-0.028839528869326492
abasing,-0.015860110223966658
abassin,-0.020670333635696977
abatage,-0.03268802576960158
abaters,-0.010306141377849723
abating,-0.016324296154453948
abators,-0.009967545639340832
abattis,-0.01891405866564603
abattue,-0.02793617413010723
abature,-0.013369680302047632
abaxial,-0.04342454146783925
abaxile,-0.02120875112548417
abbasid,-0.031732930275144275
abbassi,-0.04915925201683777
abbatie,-0.024265922096285992
abbotcy,-0.03844528721908824
abbozzo,-0.14816340411521411
abcissa,-0.0276650405987304
abdaria,-0.03135702826265307
abdomen,-0.012818704926957433
abduced,-0.026244630948424497
abduces,-0.010754220332198939
abducts,-0.013470710331889409
abeyant,-0.02210759749883754
abelian,-0.012707988033536101
abelite,-0.009737651863130612
abettal,-0.02852552390811478
abetted,-0.02333330720083702
abetter,-0.01895066532651485
abettor,-0.016598888065079014
abfarad,-0.05219671589539884
abhenry,-0.018548949064198975
abidden,-0.0164175862181487
abiders,-0.00772814982894482
abiding,-0.024609704269772395
abience,-0.01273019763167876
abietic,-0.018255202268118047
abietin,-0.014698618655974903
abiezer,-0.018229238344175096
abigail,-0.03159775527012152
abigeat,-0.017248607538022653
abigeus,-0.011507966719034542
abilene,-0.008863225048954265
ability,-0.020670081911043497
abioses,-0.011245752404433637
abiosis,-0.02263493910387171
abiotic,-0.019526270031326634
abysmal,-0.032550745121869326
abyssal,-0.04037115997357762
abysses,-0.03191924847282678
abyssus,-0.05242454031353431
abiston,-0.00882585867854567
abitibi,-0.053057107359301546
abiuret,-0.00827832920986051
abjoint,-0.015607324244922817
abjudge,-0.033382627067923415
abjunct,-0.02700196157683507
abjured,-0.02071288417329341
abjurer,-0.02897884485828844
abjures,-0.013536424073185147
ablated,-0.013876885068698414
ablates,-0.008949690199634227
ablator,-0.013908623919038493
ablauts,-0.014511316237575197
ableeze,-0.03697823026914529
ablepsy,-0.018722323852334407
ablesse,-0.01827624055289565
ablings,-0.01019137647986571
abluent,-0.009714833363461297
abluted,-0.010909125107359148
aboding,-0.014568770688889258
abogado,-0.04598639655934036
abolete,-0.011083124671548936
abolish,-0.010711889770200586
abollae,-0.02605634430930759
abomasa,-0.0354590493075099
abomasi,-0.019549806286426812
abomine,-0.010384461761926393
aborted,-0.008865445215042147
aborter,-0.012755372364816213
abortin,-0.008535554387185278
abortus,-0.009039671558199031
abought,-0.02217014313796293
aboulia,-0.018083080433775822
aboulic,-0.014860013845173431
abounds,-0.011671687526540651
